State,State_code,Lowest minimum wage,Highest minimum wage,Median minimum wage
Alabama,AL,0,0,0
Alaska,AK,2.1,10.19,4.75
Arizona,AZ,0,12,0
Arkansas,AR,0.15625,10,4.25
California,CA,1.65,13,4.25
Colorado,CO,1,12,3
Connecticut,CT,1.4,11,4.27
Delaware,DE,1.25,9.25,4.25
District of Columbia,DC,1.25,14,4.25
Florida,FL,0,8.56,0
Georgia,GA,0,5.15,3.25
Guam,GU,1.25,8.25,4.25
Hawaii,HI,1.25,10.1,5.25
Idaho,ID,1.15,7.25,4.25
Illinois,IL,0,9.25,4.25
Indiana,IN,1.15,7.25,3.35
Iowa,IA,0,7.25,4.65
Kansas,KS,0,7.25,2.65
Kentucky,KY,0.65,7.25,4.25
Louisiana,LA,0,0,0
Maine,ME,1.4,12,4.25
Maryland,MD,1,11,4.25
Massachusetts,MA,1.6,12.75,4.25
Michigan,MI,1.25,9.65,3.35
Minnesota,MN,0.7,8.15,4.25
Mississippi,MS,0,0,0
Missouri,MO,0,9.45,4.25
Montana,MT,0,8.65,4
Nebraska,NE,1,9,4.25
Nevada,NV,1.25,7.25,4.25
New Hampshire,NH,1.4,7.25,4.25
New Jersey,NJ,1.4,11,5.05
New Mexico,NM,1.15,9,4.25
New York,NY,1.6,11.8,4.25
North Carolina,NC,1,7.25,4.25
North Dakota,ND,1,7.25,4.25
Ohio,OH,0.75,8.7,2.8
Oklahoma,OK,1,5.15,2
Oregon,OR,1.25,11.25,4.75
Pennsylvania,PA,1.15,7.25,4.25
Puerto Rico,PR,0,5.08,1.2
Rhode Island,RI,1.4,10.5,4.45
South Carolina,SC,0,0,0
South Dakota,SD,0.425,9.3,4.25
Tennessee,TN,0,0,0
Texas,TX,0,7.25,3.35
U.S. Virgin Islands,VI,0,10.5,4.3
Utah,UT,1,7.25,4.25
Vermont,VT,1.4,10.96,4.25
Virginia,VA,0,7.25,4.25
Washington,WA,1.6,13.5,4.25
West Virginia,WV,1,8.75,4.25
Wisconsin,WI,1.25,7.25,4.25
Wyoming,WY,1.2,5.15,1.6